id,question
1,"выведи топ 5 клиентов по стоимости заказов"
2,"сколько всего контрагентов"
3,"выведи 5 банковских счетов"
4,"выведи банковский счет клиента Альтаир"
5,"сколько всего клиентов"
6,"какая общая сумма заказов"
7,"какая общая сумма заказов в млн руб"
8,"покажи 10 контактных лиц партнеров без повторов по имени"
9,"рассчитай общую сумму заказов в долларах по курсу 79 руб за 1 доллар"
10,"сколько писем отправлено"
11,"сколько налогов оплачено"
12,"покажи 10 партнеров"
13,"выведи полное наименование и инн контрагентов"
14,"выведи клиентов из справочника партнеров"
15,"найди контрагента по имени Альтаир"
16,"выведи 10 банковских счетов контрагентов"
17,"покажи контрагентов без инн"
18,"покажи контрагентов с заполненным кпп"
19,"сколько контрагентов с заполненным инн"
20,"покажи телефоны банков контрагентов"
81,"покажи организации с заполненным логотипом"
82,"покажи организации с головной организацией"
83,"сколько организаций являются иностранными"
84,"сколько организаций являются индивидуальными предпринимателями"
85,"сколько всего номенклатуры"
86,"покажи 20 товаров номенклатуры"
87,"покажи номенклатуру с артикулами"
88,"покажи номенклатуру без артикула"
89,"покажи номенклатуру по производителю"
90,"покажи импортную номенклатуру"
92,"покажи номенклатуру с рейтингом продаж"
93,"выведи топ 10 товаров по рейтингу продаж"
94,"покажи номенклатуру с кодом тнвэд"
95,"покажи номенклатуру с указанием вида номенклатуры"
96,"сколько контактных лиц партнеров"
97,"покажи 10 контактных лиц партнеров"
98,"покажи контактных лиц с датой рождения без повторов по фамилии"
99,"сколько новостей опубликовано"
100,"покажи 10 последних новостей"
37,"сколько всего договоров контрагентов"
38,"покажи согласованные договоры контрагентов"
39,"покажи несогласованные договоры контрагентов"
40,"покажи договоры с указанным сроком оплаты"
41,"покажи договоры с ограничением суммы задолженности"
42,"покажи договоры с запрещенной просроченной задолженностью"
43,"покажи договоры с суммой"
44,"покажи договоры без суммы"
45,"выведи договоры с указанием организации и контрагента"
46,"покажи договоры с банковским счетом контрагента"
47,"покажи договоры с валютой взаиморасчетов"
49,"сколько всего уведомлений о прочтении писем"
50,"покажи письма, для которых требуется отправка уведомления о прочтении"